1000320,5
1000420,5
1000430,5
1000580,5
1000930,5
1001140,5
1001710,5
1001720,5
1001780,5
1001820,5
1001830,5
1001990,5
1002100,5
1002120,5
1002320,5
1002330,5
1002340,5
1002430,5
1002590,5
1002610,5
1002650,5
1004500,5
1004510,5
1004880,5
1005080,5
1005110,5
1005340,5
1005900,5
1006610,5
1006670,5
1006730,5
1006780,5
1006830,5
1006970,5
1006980,5
1007340,5
1008190,5
1008450,5
1008460,5
1008630,5
1008910,5
1009000,5
1009030,5
1009290,5
1009330,5
1010080,5
1012480,5
1012550,5
1012620,5
1012980,5
1013050,5
1013190,5
1017760,5
1030630,5
1037670,5
1038350,5
1039140,5
1039220,5
1042610,5
1042620,5
1042650,5
1042820,5
1044070,5
1046810,5
1049000,5
1049180,5
1050390,5
1050590,5
1061520,5
1061820,5
1067470,5
1070790,5
1072590,5
1073210,5
1073900,5
1074260,5
1074270,5
1075200,5
1076190,5
1078630,5
1078750,5
1078810,5
1079760,5
1080510,5
1083590,5
1084810,5
1087820,5
1089890,5
1091500,5
1092820,5
1093450,5
1096420,5
1098390,5
1098620,5
1100760,5
1103090,5
1109380,5
1110110,5
1115150,5
1119650,5
1120410,5
1120990,5
1121380,5
1122650,5
1123590,5
1123880,5
1124970,5
1125150,5
1128430,5
1132570,5
1138860,5
1138900,5
1138960,5
1144940,5
1145310,5
1148640,5
1151260,5
1153520,5
1153670,5
1154330,5
1154340,5
1156800,5
1157000,5
1157070,5
1157170,5
1158880,5
1159980,5
1160790,5
1160820,5
1162130,5
1163400,5
1163940,5
1165970,5
1169250,5
1169870,5
1171010,5
1171900,5
1173720,5
1173750,5
1174340,5
1174420,5
1175140,5
1175570,5
1177800,5
1178590,5
1178940,5
1179330,5
1180470,5
1180570,5
1182030,5
1183300,5
1183720,5
1184140,5
1184270,5
1185200,5
1188760,5
1188890,5
1189130,5
1189360,5
1189370,5
1191320,5
1191420,5
1191730,5
1191740,5
1192150,5
1192280,5
1193060,5
1193180,5
1193610,5
1194290,5
